Acidimicrobiia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Babeliae	Bacilli	Bacteroidia	BD2-11_terrestrial_group	Blastocatellia_(Subgroup_4)	Campylobacteria	Chlamydiae	Chloroflexia	Chthonomonadetes	Clostridia	Coriobacteriia	Deinococci	Deltaproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gracilibacteria	Holophagae	KD4-96	Kiritimatiellae	Leptospirae	Melainabacteria	Methanobacteria	Mollicutes	NC10	Negativicutes	Nitrososphaeria	OM190	Oxyphotobacteria	Parcubacteria	Phycisphaerae	Planctomycetacia	Saccharimonadia	Spirochaetia	Subgroup_17	Subgroup_6	Thermoleophilia	Thermoplasmata	TK10	Verrucomicrobiae	NA
WW18.2F.S9	0	0	403	56092	0	0	0	1	0	0	0	0	0	0	43	0	0	6	0	0	4362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	57	0	2611	25	0	0	0	69	19	90
WW18.2M.S12	0	0	66	44846	0	0	43	0	0	0	0	21	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28194	0	0	0	0	0	0	133
WW18.3F.S10	0	0	73	68272	0	0	6	130	0	0	0	0	0	0	10	24	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	136
WW18.3M.S13	0	0	3550	24387	0	0	116	64	0	0	0	0	0	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	9616	0	0	0	0	0	0	124
WW18.4M.S14	14	0	649	42417	0	0	89	128	0	0	0	0	0	0	0	7	0	0	0	0	388	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1171	0	0	0	0	0	0	40
WW18.5M.S15	0	0	3468	3968	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35224	0	0	101	0	0	0	165
WW18.6M.S16	0	0	3147	4809	0	0	319	2376	0	0	0	0	0	0	298	0	0	0	0	0	3145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10931	0	0	0	0	0	0	726
WW18.7M.S17	0	8	2303	5624	0	0	633	573	0	0	0	0	0	0	228	27	0	26	0	87	450	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	24230	0	0	0	82	0	0	586
WW18.8M.S18	0	0	2028	64027	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	2871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	170	72
WW18.9M.S19	0	0	78	46894	0	0	18	110	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	101
YR17.12F.S25	0	0	8	76158	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	3035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	13
YR17.13F.S26	0	0	144	55682	0	0	80	11	0	0	0	0	0	0	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	29
YR17.1M.S24	0	0	2230	3055	0	0	5493	1652	0	0	0	0	0	0	0	0	0	155	0	502	4461	0	0	0	0	0	0	0	0	0	0	1461	15	0	0	0	0	0	0	15	0	0	0	0	0	97	235
YR17.2M.S57	0	0	3	122	0	0	51	86	0	0	0	0	0	0	0	11	0	0	0	147	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30112	0	0	0	0	0	15	119
YR17.3M.S58	0	0	45	17989	0	0	45	807	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	18355	0	0	0	0	0	0	13
YR17.4M.S59	0	0	254	39555	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	28	0	0	0	62
YR17.5M.S60	0	0	25	31130	0	0	84	116	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	2989	0	0	0	0	0	0	103
YR17.6M.S61	0	0	18	17933	0	0	94	31	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	37
