11-24	Absconditabacteriales_(SR1)	Acetobacterales	Acidobacteriales	Actinomycetales	Anaerolineales	Babeliales	Bacillales	Bacteroidales	Bacteroidetes_VC2.1_Bac22	Bdellovibrionales	Betaproteobacteriales	Blastocatellales	Caedibacterales	Campylobacterales	Candidatus_Kaiserbacteria	Candidatus_Peribacteria	Candidatus_Vogelbacteria	Candidatus_Zambryskibacteria	Caulobacterales	CCD24	CCM19a	Cellvibrionales	Chitinophagales	Chlamydiales	Chloroplast	Chthoniobacterales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deinococcales	Diplorickettsiales	Dongiales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gastranaerophilales	Gemmatales	Gemmatimonadales	IMCC26256	Isosphaerales	Kallotenuales	Kineosporiales	Lactobacillales	Legionellales	Leptospirales	Methanobacteriales	Methanomassiliicoccales	Micrococcales	Micromonosporales	Microtrichales	Mollicutes_RF39	Myxococcales	NB1-j	Nitrososphaerales	Oceanospirillales	Oligoflexales	Paracaedibacterales	Pasteurellales	PB19	Pedosphaerales	PeM15	Pirellulales	Planctomycetales	PLTA13	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Pyrinomonadales	Reyranellales	Rhizobiales	Rhodobacterales	Rickettsiales	Rokubacteriales	Saccharimonadales	Salinisphaerales	Selenomonadales	Solibacterales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Subgroup_7	Tepidisphaerales	Thermomicrobiales	Unknown_Order	Verrucomicrobiales	WCHB1-41	Xanthomonadales	NA
IS17.30F.S93	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	31	0	0	0	0	0	4	126	24	0	0	0	16	0	21	1	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	16	0	0	0	0	0	0	72	26	0	0	0	99	0	33544	0	0	0	0	0	0	0	154	11490	0	0	0	0	0	15	21	0	30
IS17.37F.S94	0	0	0	0	0	0	0	23	42	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	36	0	0	0	0	22	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	29	1	82	0	0	0	0	0	38284	0	0	0	0	20	0	19	0	1	0	0	0	0	0	0	0	0	146
KF17.1M.S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	383	0	0	0	0	234	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	44356	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	238
KF17.2M.S2	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	350	0	1222	0	0	0	0	0	0	233	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	347	0	0	0	0	677	0	159	0	0	0	0	0	0	202	228	1	0	0	0	0	0	0	0	409	1103
KF17.3M.S3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	71	0	0	44	0	0	0	526	0	0	0	0	26	0	0	0	0	0	460	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	76445	0	0	0	0	0	0	0	279	7	0	0	0	0	0	0	0	0	1187
KF17.4M.S4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	3	316	2	0	0	181	0	60635	0	0	0	0	0	0	76	0	2	0	0	0	0	0	0	0	0	118
KF17.5M.S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	24	56823	0	0	0	0	0	0	78	0	8958	0	0	0	0	0	0	0	55	46
KF17.6M.S6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	69	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	40	0	0	0	220	0	80194	0	0	0	0	0	0	0	109	4	0	0	0	0	0	0	115	0	341
KF17.7M.S7	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	17	0	71283	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	113
RDWB17.1F.S80	0	0	0	0	0	0	0	0	0	0	8	329	0	0	0	0	0	0	10	27	0	0	0	28	4	0	0	0	0	0	429	172	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	75	0	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	143	0	0	0	260	0	48303	0	0	0	0	7	9	21	1532	11566	0	0	0	0	0	15	0	0	124
